# Filename: MIROC6_trend.1_1960_2014_1_mon
# Filename: MIROC6_trend.8_1960_2014_091011_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan     -0.4098      1.2128       2592
# Filename: MIROC6_trend.8_1960_2014_120102_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.19033      0.2153    -0.27523      1.6527       2592
# Filename: MIROC6_trend.9_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.11981     0.21502    -0.80649      1.5366       2592
# Filename: MIROC6_trend.9_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.11002     0.22141    -0.97699      1.7018       2592
# Filename: MIROC6_trend.9_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1    0.094201     0.18811    -0.65752     0.95426       2592
# Filename: MIROC6_trend.9_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.13933     0.21002     -1.4749      1.4256       2592
# Filename: MIROC6_trend.9_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.66893     0.89054       2592
# Filename: MIROC6_trend.9_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.93069     0.89671       2592
# Filename: MIROC6_trend.9_1960_2014_7_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -1.4986       12.99       2592
# Filename: MIROC6_trend.9_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -1.3886      4.4313       2592
# Filename: MIROC6_trend.9_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -1.0321     0.74164       2592
# Filename: MIROC6_trend.9_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.80873      1.7006       2592
# Filename: MIROC6_trend.9_1960_2014_11_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.67088      1.9611       2592
# Filename: MIROC6_trend.9_1960_2014_12_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.13101     0.18648    -0.60863      1.4891       2592
# Filename: MIROC6_trend.9_1960_2014_030405_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.11886      0.1643     -0.5968     0.97014       2592
# Filename: MIROC6_trend.9_1960_2014_060708_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan      -1.191      26.982       2592
# Filename: MIROC6_trend.9_1960_2014_091011_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1        -nan        -nan    -0.69463      1.3869       2592
# Filename: MIROC6_trend.9_1960_2014_120102_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.12535     0.19292    -0.82897      1.5058       2592
# Filename: MIROC6_trend.10_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.14494     0.19352    -0.62069      1.5909       2592
# Filename: MIROC6_trend.10_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.12361     0.23878    -0.95362      1.2294       2592
# Filename: MIROC6_trend.10_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1      0.1804     0.23416    -0.62728      1.4048       2592
# Filename: MIROC6_trend.10_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1     0.17775     0.21403    -0.32707      3.9545       2592
# Filename: MIROC6_trend.10_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan    -0.44775      1.5678       2592
# Filename: MIROC6_trend.10_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 T2,tas_mean   1        -nan        -nan     -1.4593     0.73774       2592
