# Filename: trend.1_1960_2014_1_mon
    1 trend      1        -nan        -nan     -1.4264     0.96558       2592
# Filename: trend.10_1960_2014_120102_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 trend      1     0.20688     0.19454   -0.093011     0.94655       2592
# Filename: trend.11_1960_2014_1_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.21267     0.22134    -0.56543      1.1073       2592
# Filename: trend.11_1960_2014_2_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.19362     0.21063    -0.23129      1.0002       2592
# Filename: trend.11_1960_2014_3_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1     0.22501     0.19594     -0.1022     0.90164       2592
# Filename: trend.11_1960_2014_4_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1      0.2075     0.22799     -0.2284     0.91693       2592
# Filename: trend.11_1960_2014_5_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.42335     0.79752       2592
# Filename: trend.11_1960_2014_6_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.49106     0.78254       2592
# Filename: trend.11_1960_2014_7_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan     -2.4064     0.68575       2592
# Filename: trend.11_1960_2014_8_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan     -1.9262     0.60914       2592
# Filename: trend.11_1960_2014_9_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
    1 tas        1        -nan        -nan    -0.41452     0.78837       2592
# Filename: trend.11_1960_2014_10_mon
# No. ITEM       Z         AVE          SD         MIN         MAX        NUM
